Plant Name,Stage,Start Day,End Day,Recommended Fertilizer
Pigeon pea,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for seedling growth
Pigeon pea,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Pigeon pea,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Pigeon pea,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and pod formation
Pigeon pea,Pod Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote pod development and filling
Pigeon pea,Harvest,,,Cease fertilization to allow pigeon pea pods to fully mature
Turmeric,Land Preparation,,,Application of organic matter such as compost or well-rotted manure to enrich the soil
Turmeric,Planting,,,Application of a balanced fertilizer such as 10-10-10 NPK blend to provide essential nutrients for rhizome growth
Turmeric,Early Growth,10.0,20.0,Application of nitrogen-rich fertilizers like urea or ammonium nitrate to promote early vegetative growth
Turmeric,Mid-Growth,20.0,40.0,Application of balanced fertilizers with higher phosphorus content to support root development and overall plant growth
Turmeric,Late Growth,40.0,60.0,Continued application of balanced fertilizers or switching to potassium-rich fertilizers like potassium sulfate to support flowering and rhizome formation
Turmeric,Rhizome Development,60.0,90.0,Application of potassium-rich fertilizers such as potassium chloride or potassium sulfate to promote rhizome development and maturation
Turmeric,Harvest,,,Cease fertilization to allow turmeric rhizomes to fully mature
